date,price_sdllmtk,usage_total_b,spend_usd_day,product_raw
2025-12-01,1.0800,1015.1095,1096318.26,1096.3183
2025-12-02,1.0600,1026.5709,1088165.15,1088.1652
2025-12-03,1.0400,976.1174,1015162.10,1015.1621
2025-12-04,1.0200,898.7516,916726.63,916.7266
2025-12-05,1.0000,843.8229,843822.90,843.8229
2025-12-06,1.0167,703.3814,715104.42,715.1044
2025-12-07,1.0333,719.9354,743933.25,743.9332
2025-12-08,1.0500,926.1688,972477.24,972.4772
2025-12-09,1.0425,933.5835,973260.80,973.2608
2025-12-10,1.0350,899.4773,930959.01,930.9590
2025-12-11,1.0275,850.7516,874147.27,874.1473
2025-12-12,1.0200,838.8596,855636.79,855.6368
2025-12-13,1.0450,662.2332,692033.69,692.0337
2025-12-14,1.0700,661.6726,707989.68,707.9897
2025-12-15,1.0950,862.1773,944084.14,944.0841
2025-12-16,1.1200,885.6964,991979.97,991.9800
2025-12-17,1.1350,923.6046,1048291.22,1048.2912
2025-12-18,1.1500,900.4835,1035556.02,1035.5560
2025-12-19,1.1650,858.3105,999931.73,999.9317
2025-12-20,1.1800,691.5753,816058.85,816.0589
2025-12-21,1.1900,718.6529,855196.95,855.1970
2025-12-22,1.2000,895.7109,1074853.08,1074.8531
2025-12-23,1.2100,919.8936,1113071.26,1113.0713
2025-12-24,1.2200,832.0208,1015065.38,1015.0654
2025-12-25,1.2275,737.2623,904989.47,904.9895
2025-12-26,1.2350,817.2277,1009276.21,1009.2762
2025-12-27,1.2425,733.6244,911528.32,911.5283
2025-12-28,1.2500,729.2096,911512.00,911.5120
2025-12-29,1.2600,908.4897,1144697.02,1144.6970
2025-12-30,1.2700,875.7111,1112153.10,1112.1531
2025-12-31,1.2800,768.6521,983874.69,983.8747
2026-01-01,1.2933,676.1466,874482.94,874.4829
2026-01-02,1.3067,780.4330,1019765.79,1019.7658
2026-01-03,1.3200,752.4942,993292.34,993.2923
2026-01-04,1.3350,804.6147,1074160.62,1074.1606
2026-01-05,1.3500,920.3857,1242520.70,1242.5207
2026-01-06,1.3650,963.4147,1315061.07,1315.0611
2026-01-07,1.3800,1017.2148,1403756.42,1403.7564
