date,week,days,price_sdllmtk_avg,usage_total_b_sum,spend_usd_week
2025-12-07,2025-W49,7,1.0357,6183.6891,6404535.14
2025-12-14,2025-W50,7,1.0414,5772.7466,6011903.24
2025-12-21,2025-W51,7,1.1479,5840.5005,6704060.22
2025-12-28,2025-W52,7,1.2264,5664.9493,6947655.68
2026-01-04,2026-W01,7,1.2950,5566.5414,7208671.11
2026-01-11,2026-W02,7,1.4082,6419.6837,9040290.30
2026-01-18,2026-W03,7,1.6285,7643.2726,12446705.46
2026-01-25,2026-W04,7,1.7576,7493.6797,13171034.18
2026-02-01,2026-W05,7,1.6571,8249.9343,13671319.70
2026-02-08,2026-W06,7,1.4571,9804.3268,14286304.77
2026-02-15,2026-W07,7,1.2950,13014.6301,16853945.98
2026-02-22,2026-W08,7,1.2682,13947.7277,17688707.52
2026-03-01,2026-W09,7,1.3600,13615.6712,18517312.83
2026-03-08,2026-W10,7,1.4554,14788.9101,21523145.95
2026-03-15,2026-W11,7,1.5100,16874.4750,25480457.25
2026-03-22,2026-W12,7,1.5282,20296.7948,31017851.77
2026-03-29,2026-W13,7,1.5400,22639.9244,34865483.58
2026-04-05,2026-W14,7,1.5911,27005.5563,42967769.04
2026-04-12,2026-W15,7,1.7500,20990.8457,36733979.97
2026-04-19,2026-W16,7,1.8500,20469.2731,37868155.23
2026-04-26,2026-W17,7,1.7907,21883.2697,39186683.67
2026-05-03,2026-W18,7,1.9300,23797.7568,45929670.62
2026-05-10,2026-W19,7,1.9736,25731.7886,50783522.79
2026-05-17,2026-W20,7,2.0364,26905.6824,54791500.37
2026-05-24,2026-W21,7,2.0339,28920.2050,58821631.24
2026-05-31,2026-W22,7,1.8979,31807.7478,60366561.36
2026-06-07,2026-W23,7,1.7089,36126.1054,61736933.69
2026-06-14,2026-W24,7,1.6936,44605.8120,75543128.75
2026-06-21,2026-W25,7,1.7339,46647.9056,80884136.32
2026-06-28,2026-W26,7,1.6907,46720.3482,78990760.14
2026-07-05,2026-W27,7,1.6348,46719.7383,76376760.75
2026-07-12,2026-W28,7,1.5727,52619.6687,82755704.67
2026-07-19,2026-W29,7,1.5179,62773.9443,95281879.74
2026-07-26,2026-W30,7,1.4663,58041.4974,85105418.47
2026-08-02,2026-W31,7,1.3945,56788.5889,79189659.06
2026-08-09,2026-W32,7,1.1998,69046.5379,82844008.93
2026-08-16,2026-W33,7,1.0603,75340.5811,79883618.14
2026-08-23,2026-W34,7,1.0583,93376.6257,98817370.42
