date,value,source,note
2025-12-01,1.0800,approx_chart,Bloomberg+TV: series start ~1.05-1.10
2025-12-05,1.0000,approx_chart,early Dec dip near 1.00
2025-12-08,1.0500,approx_chart,base grind
2025-12-12,1.0200,approx_chart,second local dip
2025-12-16,1.1200,approx_chart,lift off base
2025-12-20,1.1800,approx_chart,late Dec climb
2025-12-24,1.2200,approx_chart,pre-year-end step-up
2025-12-28,1.2500,approx_chart,year-end
2025-12-31,1.2800,approx_chart,into Jan
2026-01-03,1.3200,approx_chart,early Jan
2026-01-07,1.3800,approx_chart,steepening
2026-01-10,1.4500,approx_chart,mid-Jan impulse
2026-01-14,1.5800,approx_chart,into first peak zone
2026-01-17,1.7200,approx_chart,near first crest
2026-01-20,1.7700,approx_chart,Jan peak ~1.75-1.78 (Bloomberg)
2026-01-23,1.7600,approx_chart,high plateau
2026-01-27,1.7200,approx_chart,roll over start
2026-01-31,1.6000,approx_chart,late Jan selloff
2026-02-04,1.4800,approx_chart,Feb decline
2026-02-08,1.3800,approx_chart,continue lower
2026-02-12,1.2800,approx_chart,approach trough
2026-02-16,1.2500,approx_chart,Feb trough ~1.22-1.28
2026-02-20,1.2700,approx_chart,trough base
2026-02-24,1.3200,approx_chart,rebound
2026-02-28,1.4000,approx_chart,end-Feb lift
2026-03-04,1.4500,approx_chart,March grind
2026-03-08,1.4800,approx_chart,steady up
2026-03-12,1.5100,approx_chart,mid-Mar
2026-03-16,1.5400,approx_chart,mid-Mar high band
2026-03-20,1.5200,approx_chart,chop
2026-03-24,1.5300,approx_chart,flat-ish
2026-03-28,1.5500,approx_chart,late Mar ~1.55
2026-04-01,1.5600,approx_chart,April base before impulse
2026-04-05,1.6500,approx_chart,April acceleration
2026-04-09,1.7500,approx_chart,steep April leg
2026-04-13,1.8500,approx_chart,into April local peak
2026-04-16,1.8800,approx_chart,April peak ~1.88
2026-04-20,1.7800,approx_chart,pullback
2026-04-23,1.7500,approx_chart,April local low ~1.75
2026-04-27,1.9000,approx_chart,reclaim
2026-04-30,1.9500,approx_chart,end-Apr push
2026-05-03,1.9300,approx_chart,early May chop
2026-05-07,1.9800,approx_chart,higher highs
2026-05-11,2.0000,approx_chart,break 2.0 zone
2026-05-15,2.0500,approx_chart,May peak zone
2026-05-18,2.0800,approx_chart,cycle high ~2.05-2.10 (Bloomberg+TV)
2026-05-22,2.0200,approx_chart,first crack
2026-05-26,1.9500,approx_chart,May late fade
2026-05-30,1.8500,approx_chart,into June crash
2026-06-03,1.7200,approx_chart,early June dump
2026-06-07,1.6500,approx_chart,June low zone ~1.65
2026-06-11,1.7000,approx_chart,bounce
2026-06-15,1.7200,approx_chart,mid-Jun relief
2026-06-19,1.7500,approx_chart,local bounce high ~1.75
2026-06-23,1.7000,approx_chart,roll again
2026-06-27,1.6800,approx_chart,late Jun
2026-07-01,1.6500,approx_chart,into July
2026-07-03,1.6200,press_cio,CIO: stands at 1.62; ~-20% from May peak
2026-07-08,1.5800,approx_chart,TV Jul leg lower
2026-07-12,1.5500,approx_chart,continue decline
2026-07-16,1.5200,approx_chart,mid-Jul
2026-07-20,1.4800,approx_chart,lower
2026-07-24,1.4600,approx_chart,near TV last print zone
2026-07-28,1.4520,approx_chart,TV chart last price 1.4520 (Jul end)
2026-08-03,1.2901,public_embed,portal token-index-chart RSC
2026-08-04,1.2723,public_embed,portal token-index-chart RSC
2026-08-05,1.1997,public_embed,portal token-index-chart RSC
2026-08-06,1.1771,public_embed,portal token-index-chart RSC
2026-08-07,1.1692,public_embed,portal token-index-chart RSC
2026-08-08,1.1635,public_embed,portal token-index-chart RSC
2026-08-09,1.1269,public_embed,portal token-index-chart RSC
2026-08-10,1.1240,public_embed,portal token-index-chart RSC
2026-08-11,1.0991,public_embed,portal token-index-chart RSC
2026-08-12,1.0775,public_embed,portal token-index-chart RSC
2026-08-13,1.0516,public_embed,portal token-index-chart RSC
2026-08-14,1.0293,public_embed,portal token-index-chart RSC
2026-08-15,1.0189,public_embed,portal token-index-chart RSC
2026-08-16,1.0217,public_embed,portal token-index-chart RSC
2026-08-17,1.0481,public_embed,portal token-index-chart RSC
2026-08-18,1.0575,public_embed,portal token-index-chart RSC
2026-08-19,1.0828,public_embed,portal token-index-chart RSC
2026-08-20,1.0564,public_embed,portal token-index-chart RSC
2026-08-21,1.0602,public_embed,portal token-index-chart RSC
2026-08-22,1.0446,public_embed,portal token-index-chart RSC
2026-08-23,1.0501,public_embed,portal token-index-chart RSC
2026-08-24,1.0524,public_embed,portal token-index-chart RSC
2026-08-25,1.0569,public_embed,portal token-index-chart RSC
2026-08-26,1.0748,public_embed,portal token-index-chart RSC
2026-08-27,1.0580,public_embed,portal token-index-chart RSC
2026-08-28,1.0586,public_embed,portal token-index-chart RSC
2026-08-29,1.0296,public_embed,portal token-index-chart RSC
2026-08-30,1.0018,public_embed,portal token-index-chart RSC
2026-08-31,0.9665,public_embed,portal token-index-chart RSC
2026-09-01,0.9673,public_embed,portal token-index-chart RSC
2026-09-02,0.9766,public_embed,portal token-index-chart RSC
2026-09-03,0.9718,public_embed,portal token-index-chart RSC
2026-09-04,0.9735,public_embed,portal token-index-chart RSC
2026-09-05,0.9861,public_embed,portal token-index-chart RSC
2026-09-06,0.9911,public_embed,portal token-index-chart RSC
